arch,height,distM,distP,distB,countM,countP,countB,e,n,lat,lon
0,14.7,61.98386886924694,2135.204439860502,121.01652779682617,110.0,26.0,4698.0,0,0,49.76613265393477,-7.555903615039331
0,285.9,55.31726674375732,776.6962083079844,258.5207922005501,116.0,14.0,3005.0,0,0,49.76613265393477,-7.555903615039331
0,58.6,414.85539649376625,711.9978932553101,113.28283188550682,151.0,14.0,2894.0,0,0,49.76613265393477,-7.555903615039331
0,147.2,186.06719216455113,331.3864813175094,32.89376840679705,358.0,19.0,3330.0,0,0,49.76613265393477,-7.555903615039331
0,121.1,395.00506325868787,832.1658488546619,91.59148432032315,168.0,19.0,2519.0,0,0,49.76613265393477,-7.555903615039331
1,111.7,185.15128949051368,1293.3077746615459,75.8023746329889,107.0,18.0,3410.0,444370,164050,51.373777998361234,-1.3639250392834439
1,166.6,582.0738784724839,2146.5209060244442,326.1073442901892,105.0,13.0,3454.0,460081,148139,51.229285528318066,-1.1409100301053294
0,153.0,517.5374382593012,1054.3514594289704,149.90663761154806,163.0,10.0,2930.0,0,0,49.76613265393477,-7.555903615039331
1,6.8,152.190669884852,1525.6552690565454,77.1621668954417,120.0,5.0,1629.0,499426,103067,50.81861344564996,-0.5899154206772773
1,79.9,404.2833164997042,923.3011426398215,65.80273550544841,149.0,13.0,2229.0,450576,196012,51.660626945178656,-1.2701970042690767
0,84.7,576.8231964822496,507.7203954934251,210.19038988498022,101.0,13.0,3916.0,0,0,49.76613265393477,-7.555903615039331
1,100.0,322.0931542271583,1969.3209489567716,145.57815770231468,107.0,21.0,3591.0,444280,163380,51.367760975466204,-1.3653012843200203
1,98.3,340.0,3596.765908423844,220.7826985975124,115.0,4.0,1936.0,420000,188400,51.59480088001469,-1.7140502992449758
1,23.9,363.572551219148,470.08297139973064,123.43419299367578,184.0,19.0,2180.0,490240,182210,51.53159917242621,-0.7004385844640308
0,47.6,139.1402170474087,1560.0541657263059,130.00384609695206,291.0,12.0,2091.0,0,0,49.76613265393477,-7.555903615039331
0,115.6,389.75889983424366,1885.226776809623,164.730082255792,96.0,10.0,2744.0,0,0,49.76613265393477,-7.555903615039331
0,96.4,416.4048510764494,799.3509867386166,239.10248848558643,103.0,13.0,2542.0,0,0,49.76613265393477,-7.555903615039331
1,54.0,500.4448021510464,1442.1889612668654,0.0,99.0,11.0,3685.0,475386,159347,51.32823548273321,-0.9193944426999672
0,107.7,399.32192526832284,657.90044839626,21.18962010041709,167.0,16.0,3381.0,0,0,49.76613265393477,-7.555903615039331
0,66.7,138.92443989449805,1043.5693556252024,243.03291958086666,90.0,15.0,3146.0,0,0,49.76613265393477,-7.555903615039331
0,90.0,486.62511238118407,858.0425397379782,174.59095051004218,86.0,16.0,3237.0,0,0,49.76613265393477,-7.555903615039331
0,135.5,351.1182137115647,1777.1564365581326,115.55085460523432,141.0,4.0,2259.0,0,0,49.76613265393477,-7.555903615039331
1,64.9,195.28952864913163,846.5630514025521,102.61578825892242,161.0,10.0,2891.0,481245,138818,51.14286933820538,-0.839970738927018
1,124.6,458.24556735444804,604.4278286114894,229.0349318335524,118.0,16.0,3035.0,458658,151628,51.26080270821481,-1.160715576880688
0,95.1,558.0985576042998,1523.5776973951804,210.52315787105226,221.0,12.0,3795.0,0,0,49.76613265393477,-7.555903615039331
0,121.0,479.5049530505394,373.3014867369269,87.46427842267951,146.0,16.0,2698.0,0,0,49.76613265393477,-7.555903615039331
0,122.1,72.02777242147643,656.073928761081,354.2767279966326,126.0,15.0,3761.0,0,0,49.76613265393477,-7.555903615039331
0,46.3,464.0043103248072,871.8348467456436,160.18114745499858,123.0,16.0,2996.0,0,0,49.76613265393477,-7.555903615039331
0,53.9,569.8359413024068,1353.33550902945,100.62305898749054,128.0,10.0,2768.0,0,0,49.76613265393477,-7.555903615039331
0,81.7,472.2393460947531,1166.7926122494948,100.16985574512923,75.0,12.0,3259.0,0,0,49.76613265393477,-7.555903615039331
0,101.4,876.5124072139538,2021.4178192545944,142.3938200906205,96.0,9.0,2745.0,0,0,49.76613265393477,-7.555903615039331
1,119.5,91.44397191723465,2335.6962559374024,267.3200329193456,88.0,11.0,2362.0,428193,194219,51.64606952682103,-1.5939259715795062
0,80.6,115.83177456984762,535.4568143183911,22.090722034374522,138.0,20.0,4322.0,0,0,49.76613265393477,-7.555903615039331
1,123.9,593.5292747624164,694.0353016958143,152.10851389715174,254.0,12.0,3852.0,406500,141000,51.16890818565581,-1.909776716708056
1,50.3,636.0385208460254,931.8782109267283,10.0,145.0,13.0,4225.0,446950,125250,51.024703433149,-1.3319313985830024
0,201.9,177.55280904564702,85.61541917201598,56.85068161420758,256.0,49.0,8341.0,0,0,49.76613265393477,-7.555903615039331
0,115.4,249.80192152983932,99.32270636667126,80.65977932030313,573.0,16.0,2649.0,0,0,49.76613265393477,-7.555903615039331
0,82.3,475.37038191288275,2058.869835613704,46.04345773288535,152.0,7.0,2120.0,0,0,49.76613265393477,-7.555903615039331
0,18.6,838.8039103390017,1362.0646093339333,112.58774356030055,121.0,15.0,3425.0,0,0,49.76613265393477,-7.555903615039331
1,98.9,304.63092423455635,3262.4722221039674,30.066592756745816,113.0,4.0,1931.0,419400,188500,51.59501752906517,-1.7213201366391642
1,33.6,161.1862276995153,622.5214855729881,162.0524606416083,166.0,19.0,2418.0,491370,181658,51.52645558205256,-0.6842959047951392
0,117.4,222.5758297749331,2236.0044722674415,94.847245611035,82.0,11.0,2727.0,0,0,49.76613265393477,-7.555903615039331
0,72.5,225.63909235768523,1460.297572414609,149.85659811966906,191.0,5.0,1627.0,0,0,49.76613265393477,-7.555903615039331
0,84.0,258.2111539031573,904.857999909378,117.33712115098103,110.0,11.0,3449.0,0,0,49.76613265393477,-7.555903615039331
0,140.8,166.0873264279969,915.1070975574389,108.4665847162157,175.0,7.0,2517.0,0,0,49.76613265393477,-7.555903615039331
0,26.1,351.51813608973293,1389.1385819996506,147.87156589419075,134.0,15.0,2508.0,0,0,49.76613265393477,-7.555903615039331
1,52.8,692.0411837455919,1800.0802759877126,56.462376853972415,100.0,17.0,2646.0,430222,125220,51.02555356004248,-1.5704391072906088
0,154.8,140.80127840328723,718.167807688426,26.419689627245813,140.0,22.0,3024.0,0,0,49.76613265393477,-7.555903615039331
1,54.2,96.33794683301072,163.0828010551695,9.219544457292887,129.0,13.0,2001.0,449983,197055,51.67005711621482,-1.2786207951209003
1,142.0,267.5761573832766,2390.7456995673965,185.16209115258988,107.0,23.0,3386.0,446110,161335,51.349229760611664,-1.3392800238820448
0,83.7,96.88137075826292,1980.160852052176,72.80109889280519,116.0,20.0,3133.0,0,0,49.76613265393477,-7.555903615039331
0,126.3,482.89336296950694,1113.5623018044387,213.3565091577944,76.0,15.0,2797.0,0,0,49.76613265393477,-7.555903615039331
0,152.4,449.565345639541,3102.1903552167782,183.98097727754356,231.0,9.0,2387.0,0,0,49.76613265393477,-7.555903615039331
0,71.7,500.569675469859,753.2927717693832,119.01680553602503,139.0,7.0,3142.0,0,0,49.76613265393477,-7.555903615039331
1,85.2,210.01190442448734,489.7529989698889,124.14507642270796,96.0,18.0,2339.0,445400,169000,51.41891513529282,-1.349875027745423
0,73.3,787.9213158685327,1049.976190206235,120.50311199301038,143.0,11.0,2562.0,0,0,49.76613265393477,-7.555903615039331
0,100.0,190.80094339389416,1605.1844130815625,15.231546211727817,158.0,8.0,2832.0,0,0,49.76613265393477,-7.555903615039331
0,77.6,240.87548650703334,190.33917095542893,40.85339643163099,161.0,15.0,3175.0,0,0,49.76613265393477,-7.555903615039331
1,74.1,128.2653499585917,1234.5079991640393,3.605551275463989,125.0,10.0,2040.0,451575,167135,51.40090920381129,-1.259973161698027
0,109.8,223.32935319836486,950.3288904374107,130.0,146.0,18.0,2733.0,0,0,49.76613265393477,-7.555903615039331
0,76.7,358.39782365410645,2207.1089687643425,197.31446981911895,87.0,17.0,3397.0,0,0,49.76613265393477,-7.555903615039331
0,97.4,170.66048165876012,1644.416309819384,57.982756057296896,165.0,6.0,3042.0,0,0,49.76613265393477,-7.555903615039331
1,112.7,153.3101431738944,1991.9771585035808,28.635642126552707,144.0,9.0,3125.0,480700,141600,51.1679576053551,-0.8471370403361745
0,43.4,321.37517016720506,1754.002565562548,113.44161493913951,114.0,8.0,2267.0,0,0,49.76613265393477,-7.555903615039331
1,3.7,135.72398461583714,1439.1292506234456,57.0701322935211,119.0,10.0,2536.0,482898,101101,50.803536667701664,-0.8249328123461664
1,62.7,386.4776837024358,1615.6772573753708,12.0,100.0,12.0,2238.0,440684,192890,51.63335750462209,-1.4135603404795427
1,73.8,165.58381563425817,1049.7666407349777,160.0781059358212,165.0,11.0,3177.0,487393,152423,51.264273041565374,-0.7487973060732399
0,142.0,796.2468210297609,451.8517455980446,75.66372975210778,179.0,12.0,3331.0,0,0,49.76613265393477,-7.555903615039331
0,54.4,248.80916381837707,2299.455587742455,177.92414113885727,174.0,10.0,3026.0,0,0,49.76613265393477,-7.555903615039331
0,112.7,471.1029611454379,1191.941273721151,97.09788875150684,125.0,22.0,3257.0,0,0,49.76613265393477,-7.555903615039331
0,39.2,178.89941307897016,754.9231748992742,298.9866217742861,123.0,17.0,3428.0,0,0,49.76613265393477,-7.555903615039331
1,57.4,144.31216164966833,960.6752833293881,101.13851887386922,155.0,12.0,4264.0,447200,126000,51.032144028820895,-1.3296419161637996
1,93.7,433.0415684434925,952.7402584125434,83.86298349093002,122.0,11.0,2429.0,478717,181603,51.52786408064904,-0.866656325757701
1,55.6,284.80344099044873,1041.6851731689378,76.68767828015137,127.0,22.0,4479.0,413523,130507,51.07372722506924,-1.8083479010329382
0,67.1,285.243755409299,303.99013141876827,172.23530416264836,115.0,14.0,2916.0,0,0,49.76613265393477,-7.555903615039331
1,112.7,153.3101431738944,1991.9771585035808,28.635642126552707,144.0,9.0,3125.0,480700,141600,51.1679576053551,-0.8471370403361745
0,168.1,449.72547181586236,1051.1883751259809,83.7615663654877,189.0,17.0,2495.0,0,0,49.76613265393477,-7.555903615039331
1,95.9,214.18916872708573,1543.0699919316687,152.43359209832983,349.0,7.0,1610.0,461370,164760,51.37858382215175,-1.1195958639675891
1,35.3,117.63077828527702,287.39171873942365,163.24827717314508,93.0,13.0,3918.0,447632,114853,50.931159111468176,-1.323567414040357
1,23.1,306.2172431461037,720.3776787213774,445.6871099773921,156.0,18.0,2219.0,489665,180449,51.51586059884155,-0.7091734708793584
0,78.0,659.1388321135389,942.1730202038265,85.14693182963201,113.0,17.0,3119.0,0,0,49.76613265393477,-7.555903615039331
1,42.5,434.1082814229648,675.4095054113467,233.10512649875378,103.0,11.0,2498.0,484637,174529,51.463417530136695,-0.783035062209726
0,177.3,520.0038461396223,684.7904789057745,210.05951537600004,102.0,20.0,2745.0,0,0,49.76613265393477,-7.555903615039331
1,58.4,259.10615585122633,3131.0517402304295,142.01408380861386,110.0,13.0,1893.0,497534,165066,51.37628044320153,-0.6000388183295315
1,86.8,210.6418761785035,437.79561441384953,103.60019305001319,96.0,19.0,2330.0,445441,168944,51.4176967541323,-1.3479137304064466
1,262.1,231.4584195919431,2853.285124203328,145.86637720873168,137.0,3.0,3211.0,489477,135572,51.11246128936215,-0.7231271836211061
0,170.7,486.5439342957633,1841.7828319321472,95.2102935611481,174.0,14.0,3589.0,0,0,49.76613265393477,-7.555903615039331
1,3.0,541.4646802885669,1206.1649970049702,81.25269226308751,155.0,11.0,3595.0,442614,111120,50.89798376138069,-1.3954046757208456
0,97.3,181.59570479501986,1554.7388848292178,131.10682667199293,264.0,15.0,3333.0,0,0,49.76613265393477,-7.555903615039331
1,73.6,538.5164807134504,2253.8345103401,126.21014222319853,126.0,8.0,2833.0,481191,168793,51.4123549129278,-0.833940987273108
1,84.2,38.07886552931954,293.027302482209,3.605551275463989,124.0,26.0,3974.0,456223,136157,51.121942995131796,-1.1980289849604304
1,5.0,72.69112738154499,152.12166183683374,294.0493155917898,136.0,4.0,1635.0,497010,161000,51.34054425912933,-0.6100589727972011
0,142.8,213.24164696418944,1754.971509740258,76.8505042273634,192.0,13.0,3736.0,0,0,49.76613265393477,-7.555903615039331
